Seed	Emotion	PoS
iracondo	rabbia	A
insultare	rabbia	V
arrabbiato	rabbia	A
furioso	rabbia	A
nervoso	rabbia	A
incazzato	rabbia	A
irascibilità	rabbia	S
reazione	rabbia	S
distruggere	rabbia	V
indignazione	rabbia	S
incomprensione	rabbia	S
collera	rabbia	S
incontrollabile	rabbia	A
rosso	rabbia	S
silenzio	rabbia	S
adirare	rabbia	V
inviperito	rabbia	A
adombrato	rabbia	A
shock	sorpresa	S
strabiliato	sorpresa	A
meraviglia	sorpresa	S
aprire	sorpresa	V
sbigottito	sorpresa	A
attonito	sorpresa	A
improvvisata	sorpresa	S
regalo	sorpresa	S
piacevole	sorpresa	A
inaspettato	sorpresa	A
sbalordito	sorpresa	A
stupore	sorpresa	S
sbalordire	sorpresa	V
godere	sorpresa	V
scartare	sorpresa	V
compleanno	sorpresa	S
sorpresa	sorpresa	S
scioccato	sorpresa	A
incredulo	sorpresa	A
stupito	sorpresa	A
sorpreso	sorpresa	A
strabiliare	sorpresa	V
scioccare	sorpresa	V
gioia	sorpresa	S
sorprendente	sorpresa	A
festa	sorpresa	S
meravigliare	sorpresa	V
meravigliato	sorpresa	A
curioso	sorpresa	A
sconcertato	sorpresa	A
insolito	sorpresa	A
attonimento	sorpresa	S
improvvisare	sorpresa	V
novità	sorpresa	S
emozione	sorpresa	S
trasalito	sorpresa	A
colpo	sorpresa	S
scatola	sorpresa	S
scoprire	sorpresa	V
trasecolare	sorpresa	V
festeggiare	sorpresa	V
sbigottire	sorpresa	V
improvviso	sorpresa	A
sconcertare	sorpresa	A
imprevisto	sorpresa	A
trasalire	sorpresa	V
contentezza	sorpresa	S
luce	sorpresa	S
impensato	sorpresa	A
gioioso	sorpresa	A
stupire	sorpresa	V
regalare	sorpresa	V
inatteso	sorpresa	A
imprevedibile	sorpresa	A
emozionato	sorpresa	A
ringraziare	sorpresa	V
divertente	sorpresa	A
stupirsi	sorpresa	V
sconcerto	sorpresa	S
sorprendere	sorpresa	V
allontanato	disgusto	A
esecrare	disgusto	V
antipatico	disgusto	A
sfiduciato	disgusto	A
rifiutare	disgusto	V
verme	disgusto	S
ripugnare	disgusto	V
aberrare	disgusto	A
falso	disgusto	A
fastidioso	disgusto	A
vomito	disgusto	S
disgustare	disgusto	V
fetido	disgusto	A
avversione	disgusto	S
respingere	disgusto	V
nausea	disgusto	S
nauseabondo	disgusto	A
odiosità	disgusto	S
voltastomaco	disgusto	S
abominio	disgusto	S
schifato	disgusto	A
vomitevole	disgusto	A
sporcizia	disgusto	S
nauseare	disgusto	V
amaro	disgusto	A
pietoso	disgusto	A
indecente	disgusto	A
offendere	disgusto	V
disprezzare	disgusto	V
odore	disgusto	S
marcio	disgusto	A
nauseante	disgusto	A
pessimo	disgusto	A
repellente	disgusto	A
rivoltante	disgusto	A
odioso	disgusto	A
schifo	disgusto	S
ipocrisia	disgusto	S
puzzare	disgusto	V
schifare	disgusto	V
resistere	disgusto	V
restio	disgusto	S
respinto	disgusto	A
evitare	disgusto	V
repulsivo	disgusto	A
detestabile	disgusto	A
sangue	disgusto	S
sgradevole	disgusto	A
cibo	disgusto	S
stomachevole	disgusto	A
ripugnante	disgusto	A
sputare	disgusto	V
avverso	disgusto	A
fetente	disgusto	A
allontanare	disgusto	V
rettile	disgusto	S
immangiabile	disgusto	A
disdicevole	disgusto	A
disgustoso	disgusto	A
marciume	disgusto	S
puzzolente	disgusto	A
provocare	disgusto	V
aberrante	disgusto	A
esecrazione	disgusto	S
schifoso	disgusto	A
ripugnanza	disgusto	S
spiacevole	disgusto	A
abominevole	disgusto	A
restio	disgusto	A
disgusto	disgusto	S
detestare	disgusto	V
condannare	disgusto	V
deprecabile	disgusto	A
orrore	disgusto	S
aborrire	disgusto	V
corrotto	disgusto	A
violentare	disgusto	V
infastidire	disgusto	V
puzzo	disgusto	S
vomitare	disgusto	V
intimidire	paura	V
tremare	paura	V
tenebroso	paura	A
vigliacco	paura	A
impaurito	paura	A
brividi	paura	S
scappare	paura	V
angosciare	paura	V
fuga	paura	S
spavento	paura	S
fobico	paura	A
dubbioso	paura	A
agghiacciare	paura	V
fobia	paura	S
isteria	paura	S
paura	paura	S
terribile	paura	A
tremante	paura	A
angosciato	paura	V
tremendo	paura	A
serpente	paura	S
impressionare	paura	V
vile	paura	A
intimidazione	paura	S
brivido	paura	S
terrore	paura	S
terrificante	paura	A
smarrito	paura	A
spaventato	paura	A
impressionato	paura	A
pauroso	paura	A
allarme	paura	S
preoccupazione	paura	S
spaventoso	paura	A
miseria	paura	S
terrorizzare	paura	V
intimidito	paura	A
ansioso	paura	A
lasciare	paura	V
esitante	paura	A
agitato	paura	A
preoccupare	paura	V
apprensivo	paura	A
atterrire	paura	V
atterrito	paura	A
rabbrividire	paura	V
agghiacciato	paura	A
ignoto	paura	S
timore	paura	S
sinistro	paura	A
smarrire	paura	V
panico	paura	S
paventare	paura	V
dannoso	paura	A
impauruire	paura	V
spaurito	paura	A
sgomentare	paura	V
temere	paura	V
timoroso	paura	A
spettrale	paura	A
terrificare	paura	V
tristezza	paura	S
strizza	paura	S
raccapricciante	paura	A
orrendo	paura	A
affrontare	paura	V
allarmato	paura	A
pericolo	paura	S
indeciso	paura	A
preoccupato	paura	A
spaventare	paura	V
oscuro	paura	A
insicuro	paura	A
sgomento	paura	S
superare	paura	V
triste	paura	A
allarmare	paura	V
codardo	paura	A
solo	tristezza	A
depresso	tristezza	A
intristito	tristezza	A
pena	tristezza	S
fermarsi	tristezza	V
grigiore	tristezza	S
demoralizzazione	tristezza	S
insoddisfatto	tristezza	A
malinconico	tristezza	A
pioggia	tristezza	S
lutto	tristezza	S
pesantezza	tristezza	S
cinico	tristezza	A
intristire	tristezza	V
soffrire	tristezza	V
isolarsi	tristezza	V
pianto	tristezza	S
singhiozzare	tristezza	V
fine	tristezza	S
mancanza	tristezza	S
malinconia	tristezza	S
rammaricato	tristezza	A
mestizia	tristezza	S
dispiaciuto	tristezza	A
sofferto	tristezza	A
noioso	tristezza	A
inasprito	tristezza	A
incupito	tristezza	A
avvilire	tristezza	V
pesante	tristezza	A
incupire	tristezza	V
inasprire	tristezza	V
dispiacere	tristezza	V
affliggere	tristezza	V
indebolire	tristezza	V
mancare	tristezza	V
lacrima	tristezza	S
scoramento	tristezza	S
abbattuto	tristezza	A
sconfortato	tristezza	A
demoralizzare	tristezza	V
afflitto	tristezza	A
sconfortare	tristezza	V
solitario	tristezza	A
scoraggiato	tristezza	A
penato	tristezza	A
depressione	tristezza	S
doloroso	tristezza	A
abbattere	tristezza	V
rammaricare	tristezza	A
demoralizzato	tristezza	A
cadere	tristezza	V
cupo	tristezza	A
scorato	tristezza	A
tacere	tristezza	V
penare	tristezza	V
scorare	tristezza	V
tristezza	tristezza	S
dispiacere	tristezza	S
silenzioso	tristezza	A
nero	tristezza	S
nascondere	tristezza	V
cupezza	tristezza	S
disperarsi	tristezza	V
riflettere	tristezza	V
deprimente	tristezza	A
infelicità	tristezza	S
accasciato	tristezza	A
avvilito	tristezza	A
nostalgico	tristezza	A
mesto	tristezza	A
scoraggiamento	tristezza	S
amarezza	tristezza	S
scoraggiare	tristezza	V
grigio	tristezza	A
mogio	tristezza	A
lugubre	tristezza	A
sincero	fiducia	A
solare	fiducia	A
responsabile	fiducia	A
accertato	fiducia	A
tranquillo	fiducia	A
raccontare	fiducia	V
lavoro	fiducia	S
accertare	fiducia	V
convincimento	fiducia	S
trasparente	fiducia	A
confidenza	fiducia	S
credente	fiducia	A
dare	fiducia	V
dipendenza	fiducia	S
amichevole	fiducia	A
sincerità	fiducia	S
sicurezza	fiducia	S
assicurazione	fiducia	S
speranza	fiducia	S
connettersi	fiducia	V
assegnamento	fiducia	S
responsabilizzare	fiducia	V
ottimismo	fiducia	S
affidabile	fiducia	A
ottimista	fiducia	A
legare	fiducia	V
certo	fiducia	A
affidarsi	fiducia	V
innocente	fiducia	A
affidare	fiducia	V
lealtà	fiducia	S
candido	fiducia	A
fidarsi	fiducia	V
riservare	fiducia	V
aspettativa	fiducia	S
guardare	fiducia	V
sicuro	fiducia	A
famiglia	fiducia	S
ingenuo	fiducia	A
fidato	fiducia	A
unione	fiducia	S
leale	fiducia	A
fiducia	fiducia	S
riservato	fiducia	A
fedele	fiducia	A
realtà	fiducia	S
certezza	fiducia	S
garantire	fiducia	V
credere	fiducia	V
legame	fiducia	S
grato	fiducia	A
onesto	fiducia	A
convinto	fiducia	A
corretto	fiducia	A
stringere	fiducia	V
ricevere	fiducia	V
fidare	fiducia	V
confidente	fiducia	A
convinzione	fiducia	S
familiare	fiducia	A
verità	fiducia	S
garanzia	fiducia	S
profezia	attese	S
desiderio	attese	S
agitazione	attese	S
attendere	attese	V
treno	attese	S
immaginare	attese	V
prefigurazione	attese	S
prevedere	attese	V
predizione	attese	S
auspicato	attese	A
congettura	attese	S
pazientare	attese	V
presagio	attese	S
predire	attese	V
proiezione	attese	S
sogno	attese	V
illudersi	attese	V
trepidante	attese	A
predetto	attese	A
bramato	attese	A
fremere	attese	V
voluto	attese	A
pronosticare	attese	V
agognare	attese	V
supposto	attese	A
sperato	attese	A
sospirare	attese	V
aspettato	attese	A
risultato	attese	S
atteso	attese	A
aspettare	attese	V
invocare	attese	V
aspettativa	attese	S
previsione	attese	S
auspicare	attese	V
conoscere	attese	V
emozionare	attese	V
sospiro	attese	V
fiducia	attese	S
incerto	attese	A
suspense	attese	S
fiducioso	attese	A
ipotesi	attese	S
auspicio	attese	S
speranza	attese	S
sognato	attese	A
profetizzare	attese	V
sospirato	attese	A
pronostico	attese	S
sperare	attese	V
invocato	attese	A
supposizione	attese	S
volere	attese	V
bramare	attese	V
agitarsi	attese	V
anticipazione	attese	S
prospettiva	attese	S
sognare	attese	A
attesa	attese	S
supporre	attese	V
